name,birthMonth,draftPick,year
Cam Ward,May,1,2000
Travis Hunter,May,2,2000
Abdul Carter,October,3,2000
Will Campbell,January ,4,2000
Mason Graham,September,5,2000
Ahston Jeanty,December,6,2000
Armand Membou,March,7,2000
Tetairoa McMillan,April,8,2000
Kelvin Banks Jr.,March,9,2000
Coleston Loveland,April,10,2000
Mykel Williams,June,11,2000
Tyler Booker,April,12,2000
Kenneth Grant,October,13,2000
Tyler Warren,May ,14,2000
Jalon Walker,February ,15,2000
Walter Nolen,October,16,2000
Shemar Stewart,November,17,2000
Grey Zabel,March,18,2000
Emeka Egbuka,October,19,2000
Jahdae Barron,December,20,2000
Derrick Harmon,August,21,2000
Omarion Hampton,March,22,2000
Matthew Golden,August,23,2000
Donovan Jackson,December,24,2000
Jaxson Dart,May,25,2000
James Pearce Jr.,October,26,2000
Malaki Starks ,November,27,2000
Tyleik Williams,February ,28,2000
Josh Conerly Jr.,November,29,2000
Maxwell Hairston,August,30,2000
Jihaad Campbell,February ,31,2000
Josh Simmons,December,32,2000
